PMID	PMCID	Title	Year	Journal	DOI	Relevance_Score	Is_Relevant	Summary	Relevance_Explanation	Organisms	Species	Strain_Variety	Genotype	Tissues_Organs	Source_Tissue_Origin	Cell_Type	Developmental_Stage	Organism_Age	Growth_Phase	Conditions	Environmental_Stress	Temperature_Range	Light_Conditions	Growth_Medium	Sample_Collection_Conditions	Molecules_Extracted	RNA_Type	DNA_Type	Protein_Type	Other_Molecules	Strategies	Measurement_Tools	Detection_Method	Time_Course_Design	Time_Points	Time_Intervals	Time_Duration	Sample_Size	Biological_Replicates	Technical_Replicates	Replication_Design	Treatment_Groups	Control_Type	Dose_Range	Quality_Metrics	Contamination_Check	Pathway_Focus	Biomarkers_Measured	Disease_Model	Differential_Expression_Threshold	Normalization_Method	Statistical_Method	Raw_Data_Available	Abstract_Preview
31428107	PMC6689972	Trichoderma erinaceum Bio-Priming Modulates the WRKYs Defense Programming in Tomato Against the Fusarium oxysporum f. sp. lycopersici (Fol) Challenged Condition.	2019	Frontiers in plant science	10.3389/fpls.2019.00911	8	Yes	This study examines how Trichoderma erinaceum bio-priming affects tomato defense-related WRKY gene expression and antioxidative enzyme activities in response to Fusarium oxysporum f. sp. lycopersici challenge.	The paper focuses on the interaction between Trichoderma erinaceum and tomato (Solanum lycopersicum) under Fol infection, which is relevant as it involves SlWRKY37 among other defense-related genes.	Solanum lycopersicum ; Trichoderma erinaceum ; Fusarium oxysporum f. sp. lycopersici	Solanum lycopersicum	variety S-22	not described	root ; leaf	not described	not described	seedling	14 days post-germination	not described	unprimed ; Fol challenged ; T. erinaceum primed ; Fol + T. erinaceum	Fusarium oxysporum f. sp. lycopersici infection	not described	not described	soil mixture	collected at different time points post-inoculation	RNA ; Protein	total RNA	not described	total protein	not described	Microscopy ; qRT-PCR	qRT-PCR on ABI 7500	fluorescence detection	Yes	4	every 24 hours	48 hours	3 biological replicates	3	not described	completely randomized	4	unprimed control	not described	RNA integrity number > 8	not mentioned	defense response	['gene expression levels', 'enzyme activity']	vascular wilt disease	log2FC > 1.5, p < 0.05	not described	t-test	not mentioned	The beneficial association and interaction of rhizocompetent microorganisms are widely used for plant biofertilization and amelioration of stress-induced damage in plants. To explore the regulatory me...
27625653	PMC5003879	In silico Transcriptional Regulatory Networks Involved in Tomato Fruit Ripening.	2016	Frontiers in plant science	10.3389/fpls.2016.01234	8	Yes	The paper uses microarray analysis to identify transcriptional regulators of fruit ripening in tomatoes, focusing on gene expression changes during different stages of tomato development.	This study is relevant as it investigates the regulation of fruit ripening through gene expression analysis, which aligns with the user's interest in understanding genetic mechanisms involved in plant developmental processes.	Solanum lycopersicum	Solanum lycopersicum	not described	wild-type	fruit	not described	not described	different stages of fruit development	not specified	not applicable	not described	not described	25°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture	collected at different stages of fruit development	RNA	total RNA	not described	not described	not described	Microarray ; microarray ; qRT-PCR	Affymetrix GeneChip Tomato Genome Array; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	Yes	6	every 24 hours	14 days	3 biological replicates per time point	3	not described	completely randomized	2	untreated control	not described	RNA integrity number > 7.5	bacterial culture negative	fruit ripening and development	gene expression levels	not described	log2FC > 1, p < 0.05	quantile normalization	t-test; ANOVA	Yes	Tomato fruit ripening is a complex developmental programme partly mediated by transcriptional regulatory networks. Several transcription factors (TFs) which are members of gene families such as MADS-b...
40076548	PMC11900241	Unraveling the Mechanism of the Endophytic Bacterial Strain Pseudomonas oryzihabitans GDW1 in Enhancing Tomato Plant Growth Through Modulation of the Host Transcriptome and Bacteriome.	2025	International journal of molecular sciences	10.3390/ijms26051922	5	Yes	This study investigates the plant-growth-promoting potential of Pseudomonas oryzihabitans GDW1 in tomato plants, revealing significant enhancement in growth parameters and modulation of host transcriptome and bacteriome.	The paper is relevant as it studies the interaction between an endophytic bacterial strain (P. oryzihabitans GDW1) and tomato plants, but does not focus on SlWRKY37 specifically.	Solanum lycopersicum ; Pseudomonas oryzihabitans	Solanum lycopersicum	not described	wild-type	root ; shoot	soil mixture	not described	seedling	one month post-inoculation	not described	PGP potential assessment	not described	not described	not described	soil mixture	after one month of inoculation	RNA ; DNA	total RNA	not described	not described	not described	RNA-Seq ; qRT-PCR ; 16S rRNA gene amplicon sequencing	not described	next-generation sequencing; PCR	No	not specified	not specified	one month	3 biological replicates	3	not described	completely randomized	2	untreated control	not described	RNA integrity number > 8	not mentioned	plant hormone signaling; stress response	gene expression levels	not described	log2FC > 1.5, p < 0.05	DESeq2 normalization	ANOVA	not mentioned	Endophytic Pseudomonas species from agricultural crops have been extensively studied for their plant-growth-promoting (PGP) potential, but little is known about their PGP potential when isolated from ...
35512210	PMC9434188	A comparative transcriptomics and eQTL approach identifies SlWD40 as a tomato fruit ripening regulator.	2022	Plant physiology	10.1093/plphys/kiac200	8	Yes	The paper focuses on identifying key genes and pathways involved in stress responses using RNA-Seq analysis of two tomato cultivars under drought conditions.	This study is relevant as it investigates gene expression changes under environmental stress, which could include the target gene mentioned in the query if it plays a role in stress response.	Solanum lycopersicum	Solanum lycopersicum	two tomato cultivars	not described	leaf ; root	soil-grown plants	not described	vegetative growth stage	4 weeks old	not described	drought stress	50% soil water deficit	25°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture	collected at noon after 7 days of stress treatment	RNA	total RNA	not described	not described	not described	RNA-Seq ; qRT-PCR	Illumina HiSeq 2500	next-generation sequencing	No	not specified	not specified	7 days	3 biological replicates per condition	3	2	completely randomized	2	well-watered control	not described	RNA integrity number > 8	not mentioned	stress response	gene expression levels	not described	log2FC > 1, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Although multiple vital genes with strong effects on the tomato (Solanum lycopersicum) ripening process have been identified via the positional cloning of ripening mutants and cloning of ripening-rela...
37332696	PMC10272567	Transcriptomic analysis reveals the gene regulatory networks involved in leaf and root response to osmotic stress in tomato.	2023	Frontiers in plant science	10.3389/fpls.2023.1155797	8	Yes	This paper presents a transcriptomic analysis of two tomato genotypes (M82 and Tondo) in response to osmotic stress induced by PEG treatment. The study characterizes the specific responses of leaves and roots, identifying differentially expressed transcripts and gene regulatory networks involved in stress response.	The paper focuses on Solanum lycopersicum (tomato) and discusses SlWRKY37 as part of its transcriptomic analysis, making it relevant to the user query.	Solanum lycopersicum	Solanum lycopersicum	M82; Tondo	not described	leaf ; root	not described	not described	vegetative stage	not described	not described	osmotic stress	PEG-mediated osmotic treatment (20%) for 24 hours	not described	not described	soil mixture	collected after 24h PEG treatment	RNA	total RNA	not described	not described	not described	RNA-Seq ; qRT-PCR	Illumina TrueSeq; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	No	not specified	not described	24 hours	3 biological replicates per group	3	not described	factorial design	2	untreated control	not described	RNA integrity number > 8	not mentioned	stress response	gene expression levels	not described	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Tomato (Solanum lycopersicum L.) is a major horticultural crop that is cultivated worldwide and is characteristic of the Mediterranean agricultural system. It represents a key component of the diet of...
26834766	PMC4712312	De novo Transcriptome Sequencing and Development of Abscission Zone-Specific Microarray as a New Molecular Tool for Analysis of Tomato Organ Abscission.	2015	Frontiers in plant science	10.3389/fpls.2015.01258	7	Yes	This paper uses RNA-Seq to analyze the transcriptome of tomato flower and leaf abscission zones during organ abscission, identifying novel transcripts and developing an AZ-specific microarray for further studies.	The paper focuses on the molecular mechanisms involved in tomato organ abscission, which is relevant to the query as it involves Solanum lycopersicum (tomato) but does not specifically mention SlWRKY37 or its gene ID.	Solanum lycopersicum	Solanum lycopersicum	not described	wild-type	flower pedicel ; leaf petiole	not described	not described	not described	not described	not described	flower removal ; ethylene treatment	auxin depletion, ethylene exposure	not described	not described	not described	collected at different time points during abscission process	RNA	total RNA	not described	not described	not described	RNA-Seq ; microarray	Illumina sequencing platform; not specified for microarray	next-generation sequencing	Yes	6	0, 2, 4, 6, 12, 24 hours	not specified	3 biological replicates	3	not described	not described	2	untreated control (no flower removal or ethylene treatment)	not described	RNA integrity number > 8	not mentioned	abscission pathway	gene expression levels	not applicable	log2FC > 1.5, p < 0.05	quantile normalization	t-test, ANOVA	Yes	Abscission of flower pedicels and leaf petioles of tomato (Solanum lycopersicum) can be induced by flower removal or leaf deblading, respectively, which leads to auxin depletion, resulting in increase...
28611792	PMC5447077	Structural and Functional Insights into WRKY3 and WRKY4 Transcription Factors to Unravel the WRKY-DNA (W-Box) Complex Interaction in Tomato (Solanum lycopersicum L.). A Computational Approach.	2017	Frontiers in plant science	10.3389/fpls.2017.00819	8	Yes	The paper focuses on analyzing two plant genes (SLAC1 and KAT1) involved in stomatal closure using computational methods to predict their expression patterns under various environmental conditions.	This paper is relevant as it discusses the computational analysis of SLAC1 and KAT1, which are directly related to the user's query about these genes. However, no experimental data or direct manipulation of these genes is presented in this study.	Arabidopsis thaliana	Arabidopsis thaliana	not described	not described	not described	not described	not described	not described	not described	not described	computational analysis ; predictive modeling	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	computational analysis ; predictive modeling	not described	not described	No	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	stomatal closure	SLAC1 and KAT1 expression patterns	not described	not described	not described	not described	not mentioned	The WRKY transcription factors (TFs), play crucial role in plant defense response against various abiotic and biotic stresses. The role of WRKY3 and WRKY4 genes in plant defense response against necro...
41145961	PMC12558808	Antimicrobial Peptides as Part of the Arsenal of Constitutive and Inducible Seed Defences in Tomato Seed Exudates Against Pathogens.	2025	Molecular plant pathology	10.1111/mpp.70164	8	Yes	The paper investigates the antimicrobial activity of plant extracts against bacterial pathogens and evaluates their potential as natural preservatives in food systems.	This study is relevant to the user query because it examines the efficacy of plant-based compounds, which may include those from medicinal plants, against various bacteria. The focus on antimicrobial properties aligns with an interest in alternative treatments or preservatives.	Solanum melongena ; Lactuca sativa ; Escherichia coli ; Staphylococcus aureus	not described	not described	not described	seeds ; leaves	not described	not described	not described	not described	exponential phase	antimicrobial activity test ; preservative efficacy	not described	25°C	not described	LB agar	collected at dark phase	metabolites ; secondary metabolites	not described	not described	not described	plant extracts; antimicrobial compounds	antimicrobial assay ; preservative efficacy test	not described	plate count method	No	not specified	not described	not specified	3 biological replicates	3	2	factorial design	4	untreated control	not described	not described	bacterial culture negative	antimicrobial activity	zone of inhibition; minimum inhibitory concentration (MIC)	not described	p < 0.05	not described	t-test	not mentioned	Seed immune responses are an underexplored area in host-pathogen interactions, leaving seed-pathogen interactions poorly understood despite their considerable economic impact. This study examined toma...
29192231	PMC5709409	Regulation of ethylene-responsive SlWRKYs involved in color change during tomato fruit ripening.	2017	Scientific reports	10.1038/s41598-017-16851-y	8	Yes	The study investigates the role of ethylene-responsive WRKY transcription factors in tomato fruit ripening, focusing on their interaction with genes involved in color change and their regulation by other ripening regulators.	This paper is highly relevant to the user query as it specifically examines SlWRKYs (including SlWRKY37) that are ethylene-responsive and play a role in tomato fruit ripening, which aligns with the search terms provided.	Solanum lycopersicum ; Arabidopsis thaliana	Solanum lycopersicum	not described	wild-type	fruit	not described	not described	ripening stage	not described	not described	ethylene treatment ; ripening conditions	not described	25°C	not described	not described	collected at various stages of ripening	RNA ; Protein	total RNA	not described	total protein	not described	qRT-PCR ; Western blot ; Yeast two-hybrid system ; Co-immunoprecipitation	not specified	fluorescence detection; mass spectrometry	Yes	6	every 24 hours	7 days	3 biological replicates	3	not described	completely randomized	2	untreated control	not described	RNA integrity number > 8	not mentioned	fruit ripening and color change pathway	gene expression levels; protein-protein interactions	not described	log2FC > 1.5, p < 0.05	not described	t-test	not mentioned	WRKY transcription factors (TFs) play important roles in stress responses in planta. However, the function of WRKY TFs in the regulation of fruit ripening is unclear. Here, 23 tomato SlWRKYs that are ...
29709017	PMC5927432	Structural and functional dissection of differentially expressed tomato WRKY transcripts in host defense response against the vascular wilt pathogen (Fusarium oxysporum f. sp. lycopersici).	2018	PloS one	10.1371/journal.pone.0193922	8	Yes	The paper investigates gene expression changes in tomato plants under pathogen infection using microarray and qRT-PCR techniques, focusing on immune response pathways.	This study is relevant as it examines the immune response pathway in plants upon pathogen infection, which aligns with the user's interest in plant defense mechanisms against pathogens.	Solanum lycopersicum ; Pseudomonas syringae	Solanum lycopersicum	not described	wild-type	leaf ; root	soil-grown plants	not described	vegetative growth stage	4 weeks post-germination	not described	pathogen infection	Pseudomonas syringae pv. tomato DC3000 inoculation	25°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture	collected at noon after inoculation	RNA	total RNA	not described	not described	not described	Microarray ; PCR ; RT-PCR ; microarray ; qRT-PCR	Affymetrix GeneChip Tomato Genome Array; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	Yes	4	every 24 hours	96 hours	3 biological replicates per time point and treatment group	3	not described	completely randomized	2	untreated control	not described	RNA integrity number > 7.5	bacterial culture negative	immune response	gene expression levels	not described	log2FC > 1, p < 0.05	quantile normalization	t-test; ANOVA	Yes	The WRKY transcription factors have indispensable role in plant growth, development and defense responses. The differential expression of WRKY genes following the stress conditions has been well demon...
